modelName,fuelType,mileage (in KM),duration (in Month),partsPrice,laborPrice,totalPrice,Service replacements (Check reference)
Kicks,Petrol,10000,12,3735,0,3735,"AF,OF,ENG 10W30"
Kicks,Petrol,20000,24,4384,0,4384,"AF,OF,ENG 10W30,ACF"
Kicks,Petrol,30000,36,3735,2832,6567,"AF,OF,ENG 10W30"
Kicks,Petrol,40000,48,4384,2832,7216,"AF,OF,ENG 10W30,ACF"
Kicks,Petrol,50000,60,3735,2832,6567,"AF,OF,ENG 10W30"
Kicks,Petrol,60000,72,6895,2832,9727,"AF,OF,SP,ENG 10W30,BF,ACF"
Kicks,Petrol,70000,84,13020,2832,15852,"AF,OF,ENG 10W30"
Kicks,Petrol,80000,96,3735,2832,6567,"AF,OF,CSC,DB,ENG 10W30,ACF"
Kicks,Petrol,90000,108,3735,2832,6567,"AF,OF,ENG 10W30"
Kicks,Petrol,100000,120,4384,2832,7216,"AF,OF,ENG 10W30,ACF"
Kicks,Diesel,10000,12,3923,0,3923,"AF,OF,ENG 10W30"
Kicks,Diesel,20000,24,8433,0,8433,"AF,OF,FF,ENG 10W30,ACF"
Kicks,Diesel,30000,36,3923,2950,6873,"AF,OF,ENG 10W30"
Kicks,Diesel,40000,48,8433,2950,11383,"AF,OF,FF,ENG 10W30,ACF"
Kicks,Diesel,50000,60,3923,2950,6873,"AF,OF,ENG 10W30"
Kicks,Diesel,60000,72,8972,2950,11922,"AF,OF,FF,ENG 10W30,BF,ACF"
Kicks,Diesel,70000,84,3923,2950,6873,"AF,OF,ENG 10W30"
Kicks,Diesel,80000,96,9895,2950,12845,"AF,OF,CSC,FF,ENG 10W30,ACF"
Kicks,Diesel,90000,108,8660,2950,11610,"AF,OF,DB,ENG 10W30,TBT"
Kicks,Diesel,100000,120,8433,2950,11383,"AF,OF,FF,ENG 10W30,ACF"
Micra,Petrol,10000,6,2136,0,2136,"OF,ENG 10W30"
Micra,Petrol,20000,12,2775,0,2775,"OF,ENG 10W30,ACF"
Micra,Petrol,30000,18,2136,2596,4732,"OF,ENG 10W30"
Micra,Petrol,40000,24,3728,2596,6324,"OF,AF,ENG 10W30,BF,ACF"
Micra,Petrol,50000,30,2136,2596,4732,"OF,ENG 10W30"
Micra,Petrol,60000,36,2775,2596,5371,"OF,ENG 10W30,ACF"
Micra,Petrol,70000,42,2136,2596,4732,"OF,ENG 10W30"
Micra,Petrol,80000,48,3728,2596,6324,"OF,AF,ENG 10W30,BF,ACF"
Micra,Petrol,90000,54,2136,2596,4732,"OF,ENG 10W30"
Micra,Petrol,100000,60,5241,2596,7837,"OF,SP,ENG 10W30,ACF"
Micra,Diesel,10000,6,5717,0,5717,"OF,AF,FF,ENG 10W30"
Micra,Diesel,20000,12,6356,0,6356,"OF,AF,FF,ENG 10W30,ACF"
Micra,Diesel,30000,18,5717,2950,8667,"OF,AF,FF,ENG 10W30"
Micra,Diesel,40000,24,6895,2950,9845,"OF,AF,FF,ENG 10W30,BF,ACF"
Micra,Diesel,50000,30,5717,2950,8667,"OF,AF,FF,ENG 10W30"
Micra,Diesel,60000,36,13903,2950,16853,"OF,AF,DB,FF,ENG 10W30,TBT,ACF"
Micra,Diesel,70000,42,5717,2950,8667,"OF,AF,FF,ENG 10W30"
Micra,Diesel,80000,48,6895,2950,9845,"OF,AF,FF,ENG 10W30,BF,ACF"
Micra,Diesel,90000,54,5717,2950,8667,"OF,AF,FF,ENG 10W30"
Micra,Diesel,100000,60,6356,2950,9306,"OF,AF,FF,ENG 10W30,ACF"
Sunny,Petrol,10000,6,2136,0,2136,"OF,ENG 10W30"
Sunny,Petrol,20000,12,2775,0,2775,"OF,ENG 10W30,ACF"
Sunny,Petrol,30000,18,2136,2596,4732,"OF,ENG 10W30"
Sunny,Petrol,40000,24,3728,2596,6324,"OF,AF,ENG 10W30,BF,ACF"
Sunny,Petrol,50000,30,2136,2596,4732,"OF,ENG 10W30"
Sunny,Petrol,60000,36,2775,2596,5371,"OF,ENG 10W30,ACF"
Sunny,Petrol,70000,42,2136,2596,4732,"OF,ENG 10W30"
Sunny,Petrol,80000,48,3728,2596,6324,"OF,AF,ENG 10W30,BF,ACF"
Sunny,Petrol,90000,54,2136,2596,4732,"OF,ENG 10W30"
Sunny,Petrol,100000,60,6063,2596,8659,"OF,SP,ENG 10W30,ACF"
Sunny,Diesel,10000,6,5717,0,5717,"OF,AF,FF,ENG 10W30"
Sunny,Diesel,20000,12,6356,0,6356,"OF,AF,FF,ENG 10W30,ACF"
Sunny,Diesel,30000,18,5717,2596,8313,"OF,AF,FF,ENG 10W30"
Sunny,Diesel,40000,24,6895,2596,9491,"OF,AF,FF,ENG 10W30,BF,ACF"
Sunny,Diesel,50000,30,5717,2596,8313,"OF,AF,FF,ENG 10W30"
Sunny,Diesel,60000,36,13903,2596,16499,"OF,AF,DB,FF,ENG 10W30,TBT,ACF"
Sunny,Diesel,70000,42,5717,2596,8313,"OF,AF,FF,ENG 10W30"
Sunny,Diesel,80000,48,6895,2596,9491,"OF,AF,FF,ENG 10W30,BF,ACF"
